grade,spine_point,type
2,12,auto
2,13,exceptional
3,13,auto
3,14,auto
3,15,exceptional
4,15,auto
4,16,auto
4,17,auto
4,18,exceptional
5,18,auto
5,19,auto
5,20,auto
5,21,auto
5,22,exceptional
6,22,auto
6,23,auto
6,24,auto
6,25,auto
6,26,auto
6,27,exceptional
6,28,exceptional
7,27,auto
7,28,auto
7,29,auto
7,30,auto
7,31,auto
7,32,exceptional
7,33,exceptional
8,32,auto
8,33,auto
8,34,auto
8,35,auto
8,36,auto
8,37,auto
8,38,exceptional
8,39,exceptional
8,40,exceptional
9,38,auto
9,39,auto
9,40,auto
9,41,auto
9,42,auto
9,43,auto
9,44,exceptional
9,45,exceptional
9,46,exceptional
10,44,auto
10,45,auto
10,46,auto
10,47,auto
10,48,auto
10,49,auto
10,50,exceptional
10,51,exceptional
11,50,auto
11,51,auto
