year,effective_date,spine_point,salary,source
2009-10,1 October 2008,1,13085,extracted
2009-10,1 October 2008,2,13431,extracted
2009-10,1 October 2008,3,13787,extracted
2009-10,1 October 2008,4,14099,extracted
2009-10,1 October 2008,5,14477,extracted
2009-10,1 October 2008,6,14867,extracted
2009-10,1 October 2008,7,15216,extracted
2009-10,1 October 2008,8,15641,extracted
2009-10,1 October 2008,9,16081,extracted
2009-10,1 October 2008,10,16547,extracted
2009-10,1 October 2008,11,17026,extracted
2009-10,1 October 2008,12,17519,extracted
2009-10,1 October 2008,13,18027,extracted
2009-10,1 October 2008,14,18550,extracted
2009-10,1 October 2008,15,19089,extracted
2009-10,1 October 2008,16,19645,extracted
2009-10,1 October 2008,17,20226,extracted
2009-10,1 October 2008,18,20834,extracted
2009-10,1 October 2008,19,21458,extracted
2009-10,1 October 2008,20,22126,extracted
2009-10,1 October 2008,21,22765,extracted
2009-10,1 October 2008,22,23449,extracted
2009-10,1 October 2008,23,24152,extracted
2009-10,1 October 2008,24,24877,extracted
2009-10,1 October 2008,25,25623,extracted
2009-10,1 October 2008,26,26391,extracted
2009-10,1 October 2008,27,27183,extracted
2009-10,1 October 2008,28,27999,extracted
2009-10,1 October 2008,29,28839,extracted
2009-10,1 October 2008,30,29704,extracted
2009-10,1 October 2008,31,30594,extracted
2009-10,1 October 2008,32,31513,extracted
2009-10,1 October 2008,33,32458,extracted
2009-10,1 October 2008,34,33432,extracted
2009-10,1 October 2008,35,34435,extracted
2009-10,1 October 2008,36,35469,extracted
2009-10,1 October 2008,37,36532,extracted
2009-10,1 October 2008,38,37651,extracted
2009-10,1 October 2008,39,38757,extracted
2009-10,1 October 2008,40,39920,extracted
2009-10,1 October 2008,41,41118,extracted
2009-10,1 October 2008,42,42351,extracted
2009-10,1 October 2008,43,43622,extracted
2009-10,1 October 2008,44,44930,extracted
2009-10,1 October 2008,45,46278,extracted
2009-10,1 October 2008,46,47666,extracted
2009-10,1 October 2008,47,49096,extracted
2009-10,1 October 2008,48,50569,extracted
2009-10,1 October 2008,49,52086,extracted
2009-10,1 October 2008,50,53650,extracted
2009-10,1 October 2008,51,55259,extracted
2009-10,1 August 2009,1,13150,extracted
2010-11,1 August 2009,1,13150,extracted
2009-10,1 August 2009,2,13498,extracted
2010-11,1 August 2009,2,13498,extracted
2009-10,1 August 2009,3,13856,extracted
2010-11,1 August 2009,3,13856,extracted
2009-10,1 August 2009,4,14170,extracted
2010-11,1 August 2009,4,14170,extracted
2009-10,1 August 2009,5,14550,extracted
2010-11,1 August 2009,5,14550,extracted
2009-10,1 August 2009,6,14942,extracted
2010-11,1 August 2009,6,14942,extracted
2009-10,1 August 2009,7,15292,extracted
2010-11,1 August 2009,7,15292,extracted
2009-10,1 August 2009,8,15719,extracted
2010-11,1 August 2009,8,15719,extracted
2009-10,1 August 2009,9,16161,extracted
2010-11,1 August 2009,9,16161,extracted
2009-10,1 August 2009,10,16629,extracted
2010-11,1 August 2009,10,16629,extracted
2009-10,1 August 2009,11,17111,extracted
2010-11,1 August 2009,11,17111,extracted
2009-10,1 August 2009,12,17606,extracted
2010-11,1 August 2009,12,17606,extracted
2009-10,1 August 2009,13,18117,extracted
2010-11,1 August 2009,13,18117,extracted
2009-10,1 August 2009,14,18643,extracted
2010-11,1 August 2009,14,18643,extracted
2009-10,1 August 2009,15,19185,extracted
2010-11,1 August 2009,15,19185,extracted
2009-10,1 August 2009,16,19743,extracted
2010-11,1 August 2009,16,19743,extracted
2009-10,1 August 2009,17,20327,extracted
2010-11,1 August 2009,17,20327,extracted
2009-10,1 August 2009,18,20938,extracted
2010-11,1 August 2009,18,20938,extracted
2009-10,1 August 2009,19,21565,extracted
