grade,spine_point,type
1,7,auto
1,8,auto
1,9,auto
1,10,exceptional
2,10,auto
2,11,auto
2,12,auto
2,13,auto
2,14,exceptional
3,14,auto
3,15,auto
3,16,auto
3,17,auto
3,18,exceptional
3,19,exceptional
4,18,auto
4,19,auto
4,20,auto
4,21,auto
4,22,auto
4,23,exceptional
4,24,exceptional
5,23,auto
5,24,auto
5,25,auto
5,26,auto
5,27,auto
5,28,auto
5,29,exceptional
5,30,exceptional
5,31,exceptional
6,29,auto
6,30,auto
6,31,auto
6,32,auto
6,33,auto
6,34,auto
6,35,auto
6,36,auto
6,37,exceptional
6,38,exceptional
6,39,exceptional
7,37,auto
7,38,auto
7,39,auto
7,40,auto
7,41,auto
7,42,auto
7,43,auto
7,44,auto
7,45,exceptional
7,46,exceptional
7,47,exceptional
8,45,auto
8,46,auto
8,47,auto
8,48,auto
8,49,auto
8,50,auto
8,51,auto
8,52,auto
8,53,auto
8,54,auto
